United States of America,113
People's Republic of China,88
Japan,58
Great Britain,65
ROC,71
Australia,46
Netherlands,36
France,33
Germany,37
Italy,40
Canada,24
Brazil,21
New Zealand,20
Cuba,15
Hungary,20
Republic of Korea,20
Poland,14
Czech Republic,11
Kenya,10
Norway,8
Jamaica,9
Spain,17
Sweden,-
Switzerland,9
Denmark,13
Croatia,11
Islamic Republic of Iran,8
Serbia,7
Belgium,9
Bulgaria,7
Slovenia,6
Uzbekistan,5
Georgia,-
Chinese Taipei,5
Turkey,8
Greece,12
Uganda,13
Ecuador,4
Ireland,4
Israel,-
Qatar,3
Bahamas,-
Kosovo,4
Ukraine,-
Belarus,4
Venezuela,-
Romania,3
India,-
"Hong Kong, China",-
Slovakia,2
Philippines,-
South Africa,-
Austria,2
Egypt,19
Indonesia,7
Portugal,-
Ethiopia,4
Tunisia,-
Latvia,4
Estonia,7
Thailand,6
Fiji,4
Puerto Rico,4
Bermuda,-
Morocco,3
Colombia,7
Azerbaijan,6
Dominican Republic,5
Armenia,4
Kyrgyzstan,4
Mongolia,-
Argentina,2
San Marino,-
Malaysia,2
Jordan,-
Nigeria,2
Lithuania,-
Saudi Arabia,2
Turkmenistan,-
North Macedonia,2
Namibia,-
Bahrain,-
Kazakhstan,1
Mexico,-
Finland,-
C̫te d'Ivoire,1
Burkina Faso,-
Kuwait,-
Grenada,1
Syrian Arab Republic,-
Ghana,5
Botswana,-
Republic of Moldova,7
